Sl.No,Molecule_Smiles,Combination_Code
329,OCN(CF)C,F1-F6-F1-F12
330,CC(NCF)O,F1-F6-F1-F12
331,CNC(F)(O)C,F1-F6-F1-F12
332,CNC(CF)O,F1-F6-F1-F12
333,CC(CF)(O)N,F1-F6-F1-F12
334,OC(NCC)F,F5-F12-F4-F2
335,OC(CCN)F,F5-F12-F2-F4
336,OCNCCF,F2-F4-F5-F12
337,ClCCCO,F1-F2-F3-F11
338,OC(CC)Cl,F1-F2-F3-F11
339,OCCCCl,F1-F2-F3-F11
340,CC(CCl)O,F1-F11-F5-F1
341,CC(CO)Cl,F1-F11-F5-F1
342,CC(OCF)O,F5-F12-F5-F1
343,CC(OCO)F,F5-F12-F5-F1
344,COCC(F)O,F5-F12-F5-F1
345,OC(C(O)C)F,F5-F12-F5-F1
346,OCC(F)(O)C,F5-F12-F5-F1
347,COC(CO)F,F5-F12-F5-F1
348,CCOC(F)O,F5-F12-F5-F1
349,COC(F)(O)C,F5-F12-F5-F1
350,CNC(F)(O)N,F4-F6-F12-F1
351,CCC(Cl)O,F5-F11-F1-F1
352,CC(Cl)(O)C,F5-F11-F1-F1
353,NC(NCO)F,F1-F4-F6-F12
354,NCNC(F)O,F1-F4-F6-F12
355,NC(C(O)N)F,F1-F4-F6-F12
356,NCC(F)(O)N,F1-F4-F6-F12
357,NC(NCF)O,F1-F4-F6-F12
358,OC(C(=O)F)O,F5-F9-F3-F12
359,O=CC(F)(O)O,F5-F9-F3-F12
360,FCC(O)(N)N,F4-F6-F1-F12
361,OCCOCF,F5-F5-F1-F12
362,OCC(CF)O,F5-F5-F1-F12
363,FCCOCO,F5-F5-F1-F12
364,COC(CF)O,F5-F5-F1-F12
365,OCCC(F)O,F1-F5-F5-F12
366,OCC(CO)F,F1-F5-F5-F12
367,OC(C=O)Cl,F1-F11-F9-F3
368,OC(C(O)O)O,F5-F5-F3-F3
369,OCC(O)(O)O,F5-F5-F3-F3
370,OCOC(O)O,F5-F5-F3-F3
371,COC(O)(O)O,F5-F5-F3-F3
372,OCC(=O)Cl,F9-F11-F1-F3
373,OC(OCC)F,F5-F12-F3-F2
374,CCC(F)(O)O,F5-F12-F3-F2
375,OC(CCO)F,F2-F3-F5-F12
376,FCOCCO,F2-F3-F5-F12
377,OCOCCF,F2-F3-F5-F12
378,OC(CCF)O,F3-F5-F2-F12
379,NC(Cl)(O)N,F6-F11-F4
380,OCC(Cl)O,F5-F5-F11
381,OCOCCl,F5-F5-F11
382,COC(Cl)O,F5-F5-F11
383,CC(Cl)(O)O,F5-F11-F3-F1
384,ClCC(O)O,F1-F11-F5-F3
385,FCOC(O)O,F5-F12-F5-F3
386,OCOC(F)O,F5-F12-F5-F3
387,OC(C(O)O)F,F5-F12-F5-F3
388,OCC(F)(O)O,F5-F12-F5-F3
389,COC(F)(O)O,F5-F12-F5-F3
390,O=CC(F)(F)O,F5-F12-F9-F12
391,FC(=O)C(F)O,F5-F12-F9-F12
392,CCC(F)(F)O,F5-F12-F12-F2
393,OC(CCF)F,F5-F12-F2-F12
394,OCNCCl,F1-F11-F6
395,NC(CCl)O,F1-F11-F6
396,NC(OCF)O,F5-F12-F6
397,OCNC(F)O,F5-F12-F6
398,OC(C(O)N)F,F5-F12-F6
399,NCOC(F)O,F5-F12-F6
400,CNC(Cl)O,F6-F11-F1
401,CC(Cl)(O)N,F6-F11-F1
402,OCC(F)(O)N,F6-F12-F5
403,COC(F)(O)N,F6-F12-F5
404,NC(OCO)F,F6-F12-F5
405,NC(CO)Cl,F1-F11-F5-F4
406,NCC(Cl)O,F5-F11-F1-F4
407,FCNC(O)O,F3-F6-F1-F12
408,CNC(F)(O)O,F3-F6-F1-F12
409,FCC(O)(O)N,F3-F6-F1-F12
410,NC(Cl)(O)O,F6-F11-F3
411,CNC(F)(F)O,F6-F12-F12-F1
412,FCNC(F)O,F1-F12-F6-F12
413,OCNC(F)F,F1-F12-F6-F12
414,FCC(F)(O)N,F1-F12-F6-F12
415,NC(C(F)F)O,F1-F12-F6-F12
416,OCc1occc1,F5-F20
417,OC(Cl)(O)O,F5-F11-F3-F3
418,OC(CCl)F,F1-F11-F5-F12
419,OCC(Cl)F,F1-F11-F5-F12
420,FCOC(F)O,F5-F12-F5-F12
421,OCOC(F)F,F5-F12-F5-F12
422,OC(C(F)O)F,F5-F12-F5-F12
423,OCC(F)(F)O,F5-F12-F5-F12
424,COC(F)(F)O,F5-F12-F5-F12
425,OC(CF)Cl,F5-F11-F1-F12
426,CC(Cl)(F)O,F5-F11-F1-F12
427,NC(Cl)(F)O,F6-F11-F12
428,OCC1CCCC1,F5-F17
429,OC(Cl)Cl,F5-F11-F11
430,OC(Cl)(F)O,F5-F11-F3-F12
431,CC1CC(CC1)O,F1-F17-F3
432,NC1CC(CC1)O,F4-F17-F3
433,OCCCCCC,F2-F2-F1-F5
434,OCC(CC)CC,F1-F2-F2-F5
435,CC(C(=O)C=O)O,F9-F9-F5-F1
436,CC(=O)C(=O)CO,F9-F9-F5-F1
437,O=CC(C(=O)C)O,F5-F9-F9-F1
438,O=CC(C=O)(O)C,F5-F9-F9-F1
439,OC(Cl)(F)F,F5-F12-F11-F12
440,OC(CC)C(=O)C,F5-F9-F2-F1
441,O=CC(CC)(O)C,F5-F9-F2-F1
442,O=CC(CCC)O,F5-F9-F2-F1
443,CC(C(=O)CC)O,F5-F9-F2-F1
444,OCC(=O)CCC,F5-F9-F2-F1
445,O=CCCC(O)C,F2-F9-F5-F1
446,OCCCC(=O)C,F2-F9-F5-F1
447,O=CC(=O)CCO,F9-F9-F2-F3
448,OC1CC(CC1)O,F3-F17-F3
449,CCCCCCO,F2-F2-F2-F3
450,O=CCC(C=O)O,F5-F9-F1-F9
451,OCC(=O)CC=O,F5-F9-F1-F9
452,O=CCC(CC)O,F1-F5-F9-F2
453,OCC(CC)C=O,F1-F5-F9-F2
454,OCCC(=O)CC,F1-F5-F9-F2
455,OCC(C=O)C=O,F1-F5-F9-F9
456,OCCC(=O)C=O,F1-F5-F9-F9
457,O=CCCCCO,F2-F2-F9-F3
458,CCC(=O)CCO,F2-F9-F2-F3
459,CC(CCCC)O,F2-F2-F5-F1
460,CCC(CC)(O)C,F2-F5-F2-F1
461,CCC(CCC)O,F2-F5-F2-F1
462,OCCCCC=O,F1-F2-F9-F5
463,CCCC(CC)O,F1-F2-F5-F2
464,C1NC(O)NCN1,F3-F16
465,OCN1COCC1,F5-F8
466,OCCCCCN,F2-F2-F4-F5
467,OCNCCCC,F2-F2-F4-F5
468,OCCCNCC,F2-F4-F2-F5
469,OCN(CC)CC,F2-F4-F2-F5
470,OCNC(=O)C=O,F9-F9-F6
471,NC(C(=O)C=O)O,F9-F9-F6
472,O=CNC(C=O)O,F6-F9-F9
473,OCN(C=O)C=O,F6-F9-F9
474,NC(=O)C(=O)CO,F9-F9-F5-F4
475,O=CC(C(=O)N)O,F5-F9-F9-F4
476,O=CC(C=O)(O)N,F5-F9-F9-F4
477,NC(CCCC)O,F1-F2-F1-F6
478,OCNC(CC)C,F1-F2-F1-F6
479,NC(C(CC)C)O,F1-F2-F1-F6
480,CCCCC(O)N,F1-F2-F1-F6
481,CC(NCCC)O,F1-F2-F6-F1
482,OCN(CCC)C,F1-F2-F6-F1
483,CNC(CCC)O,F1-F2-F6-F1
484,C(CC)C(O)(N)C,F1-F2-F6-F1
485,CCCC(O)(N)C,F1-F2-F6-F1
486,CC(N(CC)C)O,F1-F6-F2-F1
487,CCN(CC)CO,F1-F6-F2-F1
488,CCNC(CC)O,F1-F6-F2-F1
489,OC(CC)N(C)C,F1-F6-F2-F1
490,CNC(CC)(O)C,F1-F6-F2-F1
491,CCC(CC)(O)N,F1-F6-F2-F1
492,CCC(NCC)O,F1-F6-F2-F1
493,CCNC(O)(C)C,F1-F6-F2-F1
494,OC(CC)C(=O)N,F5-F9-F2-F4
495,O=CC(CC)(O)N,F5-F9-F2-F4
496,O=CC(CCN)O,F5-F9-F2-F4
497,NC(C(=O)CC)O,F5-F9-F2-F4
498,OCC(=O)CCN,F5-F9-F2-F4
499,O=CCCC(O)N,F2-F9-F5-F4
500,OCCCC(=O)N,F2-F9-F5-F4
501,OCNCCC=O,F1-F1-F6-F9
502,CC(C=O)NCO,F1-F1-F6-F9
503,CCN(C=O)CO,F1-F1-F6-F9
504,CCNC(C=O)O,F1-F1-F6-F9
505,CC(C(O)N)C=O,F1-F1-F6-F9
506,CCC(C=O)(O)N,F1-F1-F6-F9
507,CCC(NC=O)O,F1-F1-F6-F9
508,O=CC(NCC)O,F5-F9-F4-F2
509,OCC(=O)NCC,F5-F9-F4-F2
510,OCC(=O)NC=O,F5-F9-F4-F9
511,O=CC(N(C)C)O,F1-F6-F1-F9
512,CN(CO)CC=O,F1-F6-F1-F9
513,CC(NCC=O)O,F1-F6-F1-F9
514,CN(C(O)C)C=O,F1-F6-F1-F9
515,CC(C=O)(NC)O,F1-F6-F1-F9
516,CNC(CC=O)O,F1-F6-F1-F9
517,CC(CC=O)(O)N,F1-F6-F1-F9
518,O=CNC(O)(C)C,F1-F6-F1-F9
519,O=CNC(CC)O,F4-F5-F9-F2
520,OCN(CC)C=O,F4-F5-F9-F2
521,OCNC(=O)CC,F4-F5-F9-F2
522,CCC(CCN)O,F2-F5-F2-F4
523,OCCCNC=O,F2-F4-F9-F5
524,CCC(=O)C(O)N,F1-F1-F9-F6
525,CC(=O)CNCO,F1-F9-F1-F6
526,CC(=O)CC(O)N,F1-F9-F1-F6
527,CN(C(=O)C)CO,F1-F6-F9-F1
528,CNC(C(=O)C)O,F1-F6-F9-F1
529,CC(=O)C(O)(N)C,F1-F6-F9-F1
530,CC(NC(=O)C)O,F1-F6-F9-F1
531,O=CC(=O)C(O)O,F9-F9-F5-F3
532,O=CC(C=O)(O)O,F5-F9-F9-F3
